VKM;Keeper Name;Country;Status;Website
CLB;Chiemgauer Lokalbahn Betriebsgesellschaft mbH & Co. KG;DE;in use;chiemgauer-lokalbahn.com
CLBLO;C +L Consult  & Logistik GmbH;DE;in use;
CLCAL;CL Cargo Logistics sp. z o. o.;PL;in use;clcargo.pl
CLEU;EUROPORT SP. Z.O.O.;PL;in use;
CLF;Costruzioni Linee Ferroviarie S.p.A.;IT;in use;clfspa.it
CLG;Chemion Logistik GmbH;DE;in use;chemion.de
CLIP;CLIP Intermodal sp. z o.o.;PL;in use;clip-group.com
CLIPL;CLIP Logistyka sp. z o.o.;PL;in use;clip-group.com
CLL;Centrum Logistyczne w Łosośnej sp. z o.o.;PL;in use;cllososna.pl
CLMTP;CLMTP;FR;in use;clmtp.fr
CLOK;Česká lokomotivka, s.r.o.;CZ;in use;lokomotivka.cz
CLR;Cargo Logistik Rail Service GmbH;DE;in use;clr-service.de
CLRA;Classic Rail AG;CH;in use;
CM;Chemin de Fer de Chamonix au Montenvers;FR;Revoked;
CMAE;CONSTRONIC MAE SA;RO;in use;
CMB;Compagnie du Mont Blanc;FR;Revoked;
CMBC;Société coopérative du Chemin de fer — Musée Blonay-Chamby;CH;in use;blonay-chamby.ch
CMC;Českomoravský cement, a.s., nástupnická společnost;CZ;in use;
CMCPL;CMC Poland sp. z o.o.;PL;in use;cmc.com
CMCZ;CMC ZAWIERCIE S.A;PL;in use;cmcpoland.com
CMD;FORMER, s.r.o.;CZ;in use;
CMDD;ČMD DOPRAVA s.r.o.;CZ;in use;caslavskadraha.cz
CMDPS;CARGO Master Sp. z o.o.;PL;in use;cargomaster.pl
CME;Comsa Machinery and Equipments;ES;in use;comsa.com
CMED;Aurubis Bulgaria AD;BG;in use;aurubis.com
CMKS;ČMKS - Jihlavská lokomotivní společnost s.r.o.;CZ;in use;
CMO;Cargo Motion s.r.o.;CZ;in use;cargom.cz
CMS;Christoph Merian Stiftung / C.M.S.;CH;in use;merianstiftung.ch
CMSAU;COMSA SAU;ES;in use;comsa.com
CMSFR;COMASFER S.L;ES;in use;comasfer.es
CMT;CENTROMAT s.r.o.;CZ;in use;
CMZO;Českomoravská železniční opravna s.r.o.;CZ;in use;cmzo.cz
CMZOE;ČMŽO-elektronika s.r.o.;CZ;in use;cmzo-e.cz/
CN;CargoNet AS;NO;in use;cargonet.no
CNA;COBRENA ACHATS;FR;in use;
CNCFR;"Compania Nationala de Cai Ferate  "" CFR "" S.A";RO;in use;rdslink.ro
CNFCT;CNCF-SUCURSALA RCF CONSTANTA;RO;in use;
CNFGL;CNCF CFR SA - SUCURSALA REGIONALA CF GALATI;RO;in use;cfr.ro
CNFIS;CNCF-SUCURSALA REGIONALA CF IASI;RO;in use;
CNKTK;ÇİNKOTÜRK MADENCİLİK ŞAN.VE TİC. LTD. ŞTİ.;TR;in use;www.cinkoturk.com
CNL;CityNightLine CNL AG;CH;Revoked;citynightline.ch
CNP;C.N.P. d.o.o.;HR;in use;
CNU;COMPANIA NATIONALA A URANIULUI S.A.;RO;in use;cnu.ro
CNX;Connex;FR;Revoked;
CNZPR;CENOZA PROMET d.o.o.;HR;in use;cenoza.com
CNZRL;CENOZA Rail d.o.o.;HR;in use;cenoza.com
CO;CEMOS Ostrava, a.s.;CZ;in use;
Coal;Coal services a.s.;CZ;in use;coalservices.cz
COALV;COALVI, SA;ES;in use;coalvi.es
COBR;COBRA;ES;in use;grupocobra.com
COBRA;Cobelfret Rail NV;BE;Revoked;cobelfret.com
COCSA;COMPAÑIA DE OBRAS CASTILLEJOS, S.A.;ES;in use;ferrovial.com
COEF;COEF s.r.l.;IT;in use;
COG;Kolejowe Zakłady Nawierzchniowe COGIFER POLSKA Sp. z o.o.;PL;in use;vossloh-cogifer.pl
COGI;COGIVEN s.r.l.;IT;in use;
COLAS;COLAS Epito Zrt;HU;in use;colas.hu
COLGB;COLAS Rail Ltd;UK;in use;colasrail.co.uk
COLRA;Colas Rail;FR;in use;colasrail.com
COMAX;COMAX-TT, a.s.;SK;in use;comaxtt.sk
COMBE;Pokorny Bohumil Ing.;CZ;in use;
COMBH;COMAT BIHOR SA;RO;in use;
COMCM;COMCM Constanta;RO;in use;comcm.ro
COMSA;COMSA INSTALACIONES Y SISTEMAS INDUSTRIALES;ES;in use;comsa.com
CON;Consulting4Rail GmbH;CH;in use;consulting4rail.ch
CONEX;CONEXVÍAS LEVANTINAS S.L.;ES;in use;conexvias.es
CONRA;Construrail, S.A.;ES;in use;constru-rail.es
CONSA;Constellium Valais SA;CH;in use;constellium.com
CONT;CONTERO sp. z o.o. sp. k.;PL;in use;
CONTC;Contec Rail Aps;DK;in use;contec.dk
CONTE;CONTERO sp. z o.o. sp. k.;PL;in use;
CONVE;CONVEY, a.s.;SK;in use;
COP;Carlsson & Persson Skogstjänst AB;SE;in use;https://copskog.se/
COPEF;Cercle Ouest Parisien d'Etudes Ferroviaires;FR;in use;copef.org
COPRO;CONSTRUCCIONES Y PROMOCIONES COPROSA S.A.;ES;in use;coprosa.es
COS;COSFER;IT;in use;
COSF;CONTRATAS Y SERVICIOS FERROVIARIOS, (COSFESA);ES;in use;grupoortiz.com/cosfesa/
COTR;Cotral S.p.A.;IT;in use;cotralspa.it
COYMA;COYMAL, S.L.;ES;in use;coymal.es
CP;Caminhos de Ferro Portugeses, E.P.;PT;in use;cp.pt
CPCLP;CP Cargo Logistica e Transoportes Ferroviários de Mercadorias, SA;PT;Revoked;cpcarga.pt
CPFBZ;COMPANIA DE PRODUCTIE FEROVIARA SRL;RO;in use;
CPL;Cargo-Polska sp. z o.o.;PL;in use;
CPS;SOCIEDAD ANÓNIMA DE OBRAS Y SERVICIOS, COPASA;ES;in use;copasagroup.com
CPSAN;COMPAGNIA PORTUALI SERVIZI SOC.COOP.;IT;in use;
CPT;Conpet SA Ploiesti;RO;in use;
CPTF;CAPTRAIN France;FR;in use;captrain.fr
